time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2020-09-29T02:55:43Z,161,0,0,0,0,0,12660372,1467,9514483,0,0,0,0,0,0,90868,0,0,0,0,0,0,0,381,8,0,-34,1,6,40623,0,0,0,0,0, ,0,0,0,0,0,0,90782,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,94,107736160,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,89236,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:56:43Z,161,0,0,0,0,0,12822484,1467,9676595,0,0,0,0,0,0,93220,0,0,0,0,0,0,0,399,9,0,-41,1,6,41866,0,0,0,0,0, ,0,0,0,0,0,0,93124,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,100,164612328,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,91509,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:57:43Z,161,0,0,0,0,0,17789340,1467,14643451,0,0,0,0,0,0,158206,0,0,0,0,0,0,0,683,11,0,-44,1,5,38093,0,0,0,0,0, ,0,0,0,0,0,0,158110,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,182,133766936,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,132671,0,25155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:58:43Z,161,0,0,0,0,0,29721812,1467,26575923,0,0,0,0,0,0,244694,0,0,0,0,0,0,0,1382,21,0,-50,1,5,31239,0,0,0,0,0, ,0,0,0,0,0,0,244620,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,429,121069568,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,185616,0,58296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:59:43Z,161,0,0,0,0,0,41114212,1467,37968323,0,0,0,0,0,0,255851,0,0,0,0,0,0,0,2078,28,0,-56,1,5,37511,0,0,0,0,0, ,0,0,0,0,0,0,255771,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,423,206659584,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,196903,0,58166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T03:00:43Z,161,0,0,0,0,0,41211996,1467,38066107,0,0,0,0,0,0,95299,0,0,0,0,0,0,0,2095,28,0,-61,1,5,43042,0,0,0,0,0, ,0,0,0,0,0,0,95215,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,136,173394488,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,93715,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T03:01:43Z,161,0,0,0,0,0,41297036,1467,38151147,0,0,0,0,0,0,96444,0,0,0,0,0,0,0,2105,28,0,-69,1,5,43610,0,0,0,0,0, ,0,0,0,0,0,0,96336,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,129,243075536,3,0,0,0,0,0,0,0,0,0,0,1,0,8,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,94926,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T03:02:43Z,161,0,0,0,0,0,41295132,1467,38149243,0,0,0,0,0,0,91615,0,0,0,0,0,0,0,2105,28,0,-75,1,5,41493,0,0,0,0,0, ,0,0,0,0,0,0,91517,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,205,201029496,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,90394,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T03:03:43Z,161,0,0,0,0,0,41299036,1467,38153147,0,0,0,0,0,0,81489,0,0,0,0,0,0,0,2107,28,0,-80,1,5,37233,0,0,0,0,0, ,0,0,0,0,0,0,81411,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,140,139627720,4,0,0,0,0,0,0,0,0,0,0,1,0,5,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,80340,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T03:04:43Z,161,0,0,0,0,0,41310980,1467,38165091,0,0,0,0,0,0,86040,0,0,0,0,0,0,0,2114,28,0,-85,1,5,39661,0,0,0,0,0, ,0,0,0,0,0,0,85944,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,118,192244816,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,84958,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
